,text,tweet_coord,tweet_created,tweet_location,negative,positive,neutral,compound,lemmatized,clean,blob_polarity,blob_subjectivity
1261, It was Cancelled Flightled none of the passengers were notified Complete violation of travelers rights  ,,2015-02-22 12:19:06 -0800,"Phoneix, AZ",0.286,0.0,0.714,-0.6369,"['cancelled', 'flightled', 'none', 'passenger', 'notified', 'complete', 'violation', 'traveler', 'right']",cancelled flightled none passenger notified complete violation traveler right,0.19285714285714284,0.46785714285714286
1262, thanks for ruined my vacation for having poorly maintained aircrafts that cant fly safely out of STT UA1481 Cancelled Flightledflight,"[0.0, 0.0]",2015-02-22 12:18:15 -0800,"London, ON",0.29,0.109,0.601,-0.5897,"['thanks', 'ruined', 'vacation', 'poorly', 'maintained', 'aircraft', 'cant', 'fly', 'safely', 'stt', 'cancelled', 'flightledflight']",thanks ruined vacation poorly maintained aircraft cant fly safely stt cancelled flightledflight,0.275,0.55
1263, in fact he received my boarding pass,,2015-02-22 12:17:59 -0800,,0.0,0.0,1.0,0.0,"['fact', 'received', 'boarding', 'pas']",fact received boarding pas,0.0,0.0
1264,  he is traveling with me on a sep reservation number F3KxB8,,2015-02-22 12:16:45 -0800,,0.0,0.126,0.874,0.0772,"['traveling', 'sep', 'reservation', 'number', 'fkxb']",traveling sep reservation number fkxb,0.0,0.0
1265,Thats not something we like to hear Hopefully our staff can resolve amp have you on your way ASAP ML315 amp still not resolved,,2015-02-22 12:16:44 -0800,"Lewis Center, OH",0.125,0.183,0.691,0.3964,"['thats', 'something', 'like', 'hear', 'hopefully', 'staff', 'resolve', 'way', 'asap', 'ml', 'still', 'resolved']",thats something like hear hopefully staff resolve way asap ml still resolved,0.0,0.0
1266, You must follow me in order for me to send you a direct message if that is what you meant,,2015-02-22 12:16:00 -0800,,0.0,0.0,1.0,0.0,"['must', 'follow', 'order', 'send', 'direct', 'message', 'meant']",must follow order send direct message meant,0.1,0.4
1267, I dont know what DM the confirmation number means,,2015-02-22 12:10:49 -0800,,0.0,0.157,0.843,0.0772,"['dont', 'know', 'dm', 'confirmation', 'number', 'mean']",dont know dm confirmation number mean,-0.3125,0.6875
1268, Waiting for 3494 EWRORD delayed 47 mins Might miss 5491 ORDYWG at 6pm CT Any room on 5644 ORDYWG in case I miss connex,,2015-02-22 12:09:42 -0800,New York NY,0.203,0.0,0.797,-0.4767,"['waiting', 'ewrord', 'delayed', 'min', 'might', 'miss', 'ordywg', 'ct', 'room', 'ordywg', 'case', 'miss', 'connex']",waiting ewrord delayed min might miss ordywg ct room ordywg case miss connex,0.0,0.0
1269, What does DM the confirmation  mean,,2015-02-22 12:09:32 -0800,,0.0,0.0,1.0,0.0,"['dm', 'confirmation', 'mean']",dm confirmation mean,-0.3125,0.6875
1270,  well now finally on board hopefully we take off this time and quickly Well over an hour delay,,2015-02-22 12:08:12 -0800,,0.099,0.297,0.603,0.5574,"['well', 'finally', 'board', 'hopefully', 'take', 'time', 'quickly', 'well', 'hour', 'delay']",well finally board hopefully take time quickly well hour delay,0.16666666666666666,0.75
1271, I missed my connection already Then I missed the next flight they put me on  Now Im going to LAX instead of Hawaii  ,,2015-02-22 12:07:30 -0800,,0.188,0.0,0.812,-0.5267,"['missed', 'connection', 'already', 'missed', 'next', 'put', 'going', 'lax', 'instead', 'hawaii']",missed connection already missed next put going lax instead hawaii,0.0,0.0
1272, reservation was made last July I want to know why I wasnt reseated This only happens on international itineraries,,2015-02-22 12:02:49 -0800,,0.0,0.075,0.925,0.0772,"['reservation', 'made', 'last', 'july', 'want', 'know', 'wasnt', 'reseated', 'happens', 'international', 'itinerary']",reservation made last july want know wasnt reseated happens international itinerary,0.0,0.03333333333333333
1273, line full of worried customers and guy at desk says so sorry you will have to take care of your problems Late Flightr I dont have time,,2015-02-22 12:02:35 -0800,,0.209,0.1,0.691,-0.3488,"['line', 'full', 'worried', 'customer', 'guy', 'desk', 'say', 'sorry', 'take', 'care', 'problem', 'late', 'flightr', 'dont', 'time']",line full worried customer guy desk say sorry take care problem late flightr dont time,-0.15,0.7166666666666667
1274,   There must be 100 people waiting in line for customer service at DEN to deal with flight Cancelled Flightations,,2015-02-22 12:01:25 -0800,,0.1,0.0,0.9,-0.25,"['must', 'people', 'waiting', 'line', 'customer', 'service', 'den', 'deal', 'cancelled', 'flightations']",must people waiting line customer service den deal cancelled flightations,0.0,0.0
1275, American never had my bags apparently United never switched them over Had to go back to United Baggage Service,,2015-02-22 12:01:11 -0800,STL,0.0,0.248,0.752,0.6808,"['american', 'never', 'bag', 'apparently', 'never', 'switched', 'go', 'back', 'baggage', 'service']",american never bag apparently never switched go back baggage service,-0.008333333333333333,0.11666666666666665
1276, unacceptable 403 was 90 min Late Flight for a missing screw our flight to Tucson left before we even landed,,2015-02-22 11:56:11 -0800,SE AZ By Way of HV,0.292,0.0,0.708,-0.6808,"['unacceptable', 'min', 'late', 'missing', 'screw', 'tucson', 'left', 'even', 'landed']",unacceptable min late missing screw tucson left even landed,-0.16666666666666666,0.21666666666666667
1277, CMH gate staff a disaster3345 overbooked no volunteers no boarding 20 min Late Flight trying to figure out issue bringbackrealstaff,,2015-02-22 11:55:48 -0800,"Lewis Center, OH",0.206,0.0,0.794,-0.5267,"['cmh', 'gate', 'staff', 'disaster', 'overbooked', 'volunteer', 'boarding', 'min', 'late', 'trying', 'figure', 'issue', 'bringbackrealstaff']",cmh gate staff disaster overbooked volunteer boarding min late trying figure issue bringbackrealstaff,-0.3,0.6
1278, Waiting half an hour for my checked bag at EWR amp that was Priority disappointing usually you guys are good,,2015-02-22 11:55:02 -0800,"New York, NY",0.133,0.12,0.747,-0.0772,"['waiting', 'half', 'hour', 'checked', 'bag', 'ewr', 'priority', 'disappointing', 'usually', 'guy', 'good']",waiting half hour checked bag ewr priority disappointing usually guy good,-0.07916666666666666,0.4291666666666667
1279, Are your earnings so low that checkin people have to also be on Tarmac loading bags JAN,,2015-02-22 11:49:13 -0800,"Brandon, Mississippi",0.146,0.0,0.854,-0.4101,"['earnings', 'low', 'checkin', 'people', 'also', 'tarmac', 'loading', 'bag', 'jan']",earnings low checkin people also tarmac loading bag jan,0.0,0.3
1280, thank you for dishonoring my upgrade and putting me in a seat I didnt want all while not even notifying me  Great 1K service ,,2015-02-22 11:48:36 -0800,"Morton, IL",0.046,0.246,0.708,0.749,"['thank', 'dishonoring', 'upgrade', 'putting', 'seat', 'didnt', 'want', 'even', 'notifying', 'great', 'k', 'service']",thank dishonoring upgrade putting seat didnt want even notifying great k service,0.8,0.75
1281, you guys are gay,,2015-02-22 11:47:53 -0800,,0.0,0.0,1.0,0.0,"['guy', 'gay']",guy gay,0.4166666666666667,0.5833333333333334
1282, the emailscalls over the past months about flight changes were helpful wish you would have sent them on the Cancelled Flightlation yesterday,,2015-02-22 11:46:09 -0800,,0.075,0.208,0.717,0.5423,"['emailscalls', 'past', 'month', 'change', 'helpful', 'wish', 'would', 'sent', 'cancelled', 'flightlation', 'yesterday']",emailscalls past month change helpful wish would sent cancelled flightlation yesterday,-0.25,0.25
1283,  so they changed depart from 145 to 200pm amp it is now 140pm amp the Capt just got off the plane to find a smoothie 2pm my ass,,2015-02-22 11:41:51 -0800,,0.119,0.0,0.881,-0.5423,"['changed', 'depart', 'capt', 'got', 'plane', 'find', 'smoothie', 'as']",changed depart capt got plane find smoothie as,0.0,0.0
1284, Thanks so much  my passport was recovered,,2015-02-22 11:38:20 -0800,,0.0,0.326,0.674,0.4404,"['thanks', 'much', 'passport', 'recovered']",thanks much passport recovered,0.2,0.2
1285,  Thanks for nothing No Atlanta Lounge Your Ap says NO Sure nothing at Terminal T ,,2015-02-22 11:38:02 -0800,,0.146,0.354,0.499,0.4862,"['thanks', 'nothing', 'atlanta', 'lounge', 'ap', 'say', 'sure', 'nothing', 'terminal']",thanks nothing atlanta lounge ap say sure nothing terminal,0.35,0.5444444444444444
1286, no thank you,,2015-02-22 11:33:08 -0800,deep in the ❤ of Texas...,0.386,0.439,0.175,0.0772,['thank'],thank,0.0,0.0
1287,  tick tock tick tock it is rapidly approaching the next dream departure of 145pm When is the next fantasy departure time,,2015-02-22 11:33:03 -0800,,0.0,0.091,0.909,0.25,"['tick', 'tock', 'tick', 'tock', 'rapidly', 'approaching', 'next', 'dream', 'departure', 'next', 'fantasy', 'departure', 'time']",tick tock tick tock rapidly approaching next dream departure next fantasy departure time,0.0,0.0
1288, it would make my day if I could take a flight on your airline without any hiccups on your end Train your employees to communicate,,2015-02-22 11:31:35 -0800,,0.0,0.0,1.0,0.0,"['would', 'make', 'day', 'could', 'take', 'without', 'hiccup', 'end', 'train', 'employee', 'communicate']",would make day could take without hiccup end train employee communicate,0.0,0.0
1289, a baby shit its pants half way through my flight and it smelled like shit what are you going to do about this,,2015-02-22 11:31:16 -0800,Michigan,0.251,0.087,0.662,-0.6908,"['baby', 'shit', 'pant', 'half', 'way', 'smelled', 'like', 'shit', 'going']",baby shit pant half way smelled like shit going,-0.18888888888888888,0.5888888888888889
1290, You cause me to miss my flight telling me it already left when it had not No empathy from gate staff or crew no apology Really,,2015-02-22 11:31:11 -0800,,0.132,0.107,0.762,-0.1808,"['cause', 'miss', 'telling', 'already', 'left', 'empathy', 'gate', 'staff', 'crew', 'apology', 'really']",cause miss telling already left empathy gate staff crew apology really,0.1,0.1
1291, rescheduled my return flight from Japan  Uh why  Trying to call UnitedAirlines customerservice  45 min wait  fun,,2015-02-22 11:30:20 -0800,San Francisco Bay Area,0.0,0.171,0.829,0.5106,"['rescheduled', 'return', 'japan', 'uh', 'trying', 'call', 'unitedairlines', 'customerservice', 'min', 'wait', 'fun']",rescheduled return japan uh trying call unitedairlines customerservice min wait fun,0.3,0.2
1292, is by far the worst airline ever ,,2015-02-22 11:28:47 -0800,,0.406,0.0,0.594,-0.6249,"['far', 'worst', 'ever']",far worst ever,-0.45,1.0
1293, no Rebooked with American and United said theyd transfer our bags to them,,2015-02-22 11:28:23 -0800,STL,0.138,0.175,0.688,0.1531,"['rebooked', 'american', 'said', 'theyd', 'transfer', 'bag']",rebooked american said theyd transfer bag,0.0,0.0
1294, I am appalled at your lack of communication during our awful journey on 221 EWR to BOS 4 hr delays need to be explained better,,2015-02-22 11:26:16 -0800,"Boston, MA",0.275,0.096,0.629,-0.6597,"['appalled', 'lack', 'communication', 'awful', 'journey', 'ewr', 'bos', 'hr', 'delay', 'need', 'explained', 'better']",appalled lack communication awful journey ewr bos hr delay need explained better,-0.43333333333333335,0.8333333333333334
1295, Im DMing my info and no is assisting My flight home left before m first flight had even landed,,2015-02-22 11:24:17 -0800,SE AZ By Way of HV,0.115,0.0,0.885,-0.296,"['dming', 'info', 'assisting', 'home', 'left', 'first', 'even', 'landed']",dming info assisting home left first even landed,0.125,0.16666666666666666
1296, Boston is all self service Swipe yr own boarding pass at gate Most difficult Tag your own bag Not easy ImproveTheProcess,,2015-02-22 11:22:33 -0800,"Mountain View, CA ",0.215,0.0,0.785,-0.6368,"['boston', 'self', 'service', 'swipe', 'yr', 'boarding', 'pas', 'gate', 'difficult', 'tag', 'bag', 'easy', 'improvetheprocess']",boston self service swipe yr boarding pas gate difficult tag bag easy improvetheprocess,-0.033333333333333326,0.9166666666666667
1297, Name correct on original confirmation but spelled wrong on checkin reminder First name and MI run together Cause for concern,,2015-02-22 11:22:22 -0800,,0.174,0.069,0.756,-0.5423,"['name', 'correct', 'original', 'confirmation', 'spelled', 'wrong', 'checkin', 'reminder', 'first', 'name', 'mi', 'run', 'together', 'cause', 'concern']",name correct original confirmation spelled wrong checkin reminder first name mi run together cause concern,0.041666666666666664,0.6611111111111111
1298, more people would catch their flights if your attendants had more help,,2015-02-22 11:20:22 -0800,?????,0.0,0.214,0.786,0.4576,"['people', 'would', 'catch', 'flight', 'attendant', 'help']",people would catch flight attendant help,0.2,0.4
1299, no consistency Denver agents say no standby with checked baggage citing FAA Your website policy says otherwise time2switch,,2015-02-22 11:16:15 -0800,,0.216,0.0,0.784,-0.5267,"['consistency', 'denver', 'agent', 'say', 'standby', 'checked', 'baggage', 'citing', 'faa', 'website', 'policy', 'say', 'otherwise', 'timeswitch']",consistency denver agent say standby checked baggage citing faa website policy say otherwise timeswitch,0.0,0.0
1300,Only 14 biz days 18 calendar to respond to my inquiry    I hope your standards are universally adopted  BadCustomerService,,2015-02-22 11:16:09 -0800,"Houston, TX",0.0,0.146,0.854,0.4404,"['biz', 'day', 'calendar', 'respond', 'inquiry', 'hope', 'standard', 'universally', 'adopted', 'badcustomerservice']",biz day calendar respond inquiry hope standard universally adopted badcustomerservice,0.0,0.0
1301, Thanks but why did this occur You guys had 3 hours extra to get my bag on due to your delay So thats 7 hours you had fail,,2015-02-22 11:09:12 -0800,,0.236,0.06,0.704,-0.775,"['thanks', 'occur', 'guy', 'hour', 'extra', 'get', 'bag', 'due', 'delay', 'thats', 'hour', 'fail']",thanks occur guy hour extra get bag due delay thats hour fail,-0.10625,0.24375
1302, so many delays todayWhats up with that Hoping my 1226pm flight boards soon United premier1K,,2015-02-22 11:06:56 -0800,,0.0,0.301,0.699,0.6808,"['many', 'delay', 'todaywhats', 'hoping', 'board', 'soon', 'premierk']",many delay todaywhats hoping board soon premierk,0.5,0.5
1303, your website is fucked up Now instead of a 416 flight I shouldve had yesterday its 514 today Thanks,,2015-02-22 11:05:28 -0800,Dirty Jerz,0.197,0.13,0.673,-0.3612,"['website', 'fucked', 'instead', 'shouldve', 'yesterday', 'today', 'thanks']",website fucked instead shouldve yesterday today thanks,-0.19999999999999998,0.44999999999999996
1304, called back and Ive been on hold What is the issue I have a confirmation number and an email that shows how much Ive paid,,2015-02-22 10:57:47 -0800,Nueva York,0.0,0.056,0.944,0.0772,"['called', 'back', 'ive', 'hold', 'issue', 'confirmation', 'number', 'email', 'show', 'much', 'ive', 'paid']",called back ive hold issue confirmation number email show much ive paid,0.1,0.1
1305, Im not sure how you can help Your flight experience is terrible planes are dirty and staff is rude Start over perhaps,"[37.83520596, -122.25460611]",2015-02-22 10:57:16 -0800,San Francisco,0.358,0.088,0.554,-0.8054,"['sure', 'help', 'experience', 'terrible', 'plane', 'dirty', 'staff', 'rude', 'start', 'perhaps']",sure help experience terrible plane dirty staff rude start perhaps,-0.35000000000000003,0.8222222222222223
1306, check in and its still saying I havent paid Ive called back twice was on hold for 30 minutes then they answered and hung up I,,2015-02-22 10:54:00 -0800,Nueva York,0.0,0.0,1.0,0.0,"['check', 'still', 'saying', 'havent', 'paid', 'ive', 'called', 'back', 'twice', 'hold', 'minute', 'answered', 'hung']",check still saying havent paid ive called back twice hold minute answered hung,0.0,0.0
1307, hold for 30 minutes finally got someone and they retook my form of payment and confirmed that my reservation was set I tried to,,2015-02-22 10:53:18 -0800,Nueva York,0.0,0.0,1.0,0.0,"['hold', 'minute', 'finally', 'got', 'someone', 'retook', 'form', 'payment', 'confirmed', 'reservation', 'set', 'tried']",hold minute finally got someone retook form payment confirmed reservation set tried,0.2,1.0
1308, welcome to our world thats a snow world today  Goose Bay Labrador Canada ,,2015-02-22 10:52:38 -0800,Everywhere,0.0,0.214,0.786,0.4588,"['welcome', 'world', 'thats', 'snow', 'world', 'today', 'goose', 'bay', 'labrador', 'canada']",welcome world thats snow world today goose bay labrador canada,0.8,0.9
1309, I bought a ticket yesterday and received a confirmation Tried to check in and they said I hadnt paid for it So I called was on,,2015-02-22 10:52:30 -0800,Nueva York,0.0,0.0,1.0,0.0,"['bought', 'ticket', 'yesterday', 'received', 'confirmation', 'tried', 'check', 'said', 'hadnt', 'paid', 'called']",bought ticket yesterday received confirmation tried check said hadnt paid called,0.0,0.0
1310, delayed because of salt on the floor from previous passengers The 180 of just just want to fly dont care about our shoes Ua649,,2015-02-22 10:50:48 -0800,"San Francisco, CA",0.169,0.048,0.783,-0.4986,"['delayed', 'salt', 'floor', 'previous', 'passenger', 'want', 'fly', 'dont', 'care', 'shoe']",delayed salt floor previous passenger want fly dont care shoe,0.3166666666666667,0.5333333333333333
1311,  Its all about profit and they dont really give a damn about paying customers greed,,2015-02-22 10:49:18 -0800,"Ottawa, Ontario",0.142,0.281,0.577,0.3947,"['profit', 'dont', 'really', 'give', 'damn', 'paying', 'customer', 'greed']",profit dont really give damn paying customer greed,0.2,0.2
1312, I unfortunately didnt get her name  she was not nice,,2015-02-22 10:47:51 -0800,"Washington, DC",0.403,0.0,0.597,-0.5764,"['unfortunately', 'didnt', 'get', 'name', 'nice']",unfortunately didnt get name nice,0.04999999999999999,1.0
1313,  what did you do with my seat International connection Seriously,,2015-02-22 10:47:22 -0800,,0.159,0.0,0.841,-0.1779,"['seat', 'international', 'connection', 'seriously']",seat international connection seriously,-0.16666666666666666,0.3333333333333333
1314, thanks Just got on a couple of minutes ago Great service on flight 479 btw Please pass it to the team on that flight,,2015-02-22 10:43:59 -0800,"California, USA",0.0,0.317,0.683,0.8519,"['thanks', 'got', 'couple', 'minute', 'ago', 'great', 'service', 'btw', 'please', 'pas', 'team']",thanks got couple minute ago great service btw please pas team,0.5,0.475
1315, My bag is lost and I cant get ahold of anyone that can help,,2015-02-22 10:43:25 -0800,Lees Summit,0.144,0.169,0.688,0.1027,"['bag', 'lost', 'cant', 'get', 'ahold', 'anyone', 'help']",bag lost cant get ahold anyone help,0.0,0.0
1316, Then you delete my return ticket to Europe and blame me for the now show This airline is a joke 3 times this happened now3 times,"[29.98704632, -95.3378275]",2015-02-22 10:42:50 -0800,"Stavanger, Norway",0.09,0.083,0.827,-0.0516,"['delete', 'return', 'ticket', 'europe', 'blame', 'show', 'joke', 'time', 'happened', 'time']",delete return ticket europe blame show joke time happened time,0.0,0.0
1317, When my United flight arrives Late Flight and Im told to rebook my connecting United flight you characterize that as a no show,"[29.98707518, -95.33783524]",2015-02-22 10:41:32 -0800,"Stavanger, Norway",0.082,0.209,0.709,0.5267,"['arrives', 'late', 'told', 'rebook', 'connecting', 'characterize', 'show']",arrives late told rebook connecting characterize show,-0.3,0.6
1318, your agents and service on my weekend trip have been AMAZING Thank you,,2015-02-22 10:39:29 -0800,Earth,0.0,0.39,0.61,0.7925,"['agent', 'service', 'weekend', 'trip', 'amazing', 'thank']",agent service weekend trip amazing thank,0.6000000000000001,0.9
1319, never flying United again Worst experience ever,,2015-02-22 10:35:51 -0800,,0.563,0.0,0.437,-0.753,"['never', 'flying', 'worst', 'experience', 'ever']",never flying worst experience ever,-1.0,1.0
1320,   ah so thats where the funds to fix the broken plane upon which I sat for 4 hrs on IAH runway went,,2015-02-22 10:35:46 -0800,San Francisco,0.14,0.0,0.86,-0.4767,"['ah', 'thats', 'fund', 'fix', 'broken', 'plane', 'upon', 'sat', 'hr', 'iah', 'runway', 'went']",ah thats fund fix broken plane upon sat hr iah runway went,-0.4,0.4
1321, tried that Cannot figure out where to go to get it,,2015-02-22 10:34:08 -0800,,0.0,0.0,1.0,0.0,"['tried', 'cannot', 'figure', 'go', 'get']",tried cannot figure go get,0.0,0.0
1322, cannot direct message you you do not follow us I want my luggage  Please hep,,2015-02-22 10:33:57 -0800,Southern California and Hawaii,0.079,0.148,0.773,0.2681,"['cannot', 'direct', 'message', 'follow', 'u', 'want', 'luggage', 'please', 'hep']",cannot direct message follow u want luggage please hep,0.1,0.4
1323, Did you get your 757 Model,,2015-02-22 10:32:10 -0800,New Hartley,0.0,0.0,1.0,0.0,"['get', 'model']",get model,0.0,0.0
1324, flight 5903 stranded on Tarmac in Chicago No gates available Plane getting very hot and uncomfortable,"[41.97862209, -87.91469774]",2015-02-22 10:29:34 -0800,"New York, USA",0.266,0.0,0.734,-0.6204,"['stranded', 'tarmac', 'chicago', 'gate', 'available', 'plane', 'getting', 'hot', 'uncomfortable']",stranded tarmac chicago gate available plane getting hot uncomfortable,0.05000000000000001,0.75
1325, we rebooked and disappointed we have to wait a whole day to start our vacation At these fares United should have top notch service,,2015-02-22 10:27:08 -0800,deep in the ❤ of Texas...,0.112,0.166,0.722,0.128,"['rebooked', 'disappointed', 'wait', 'whole', 'day', 'start', 'vacation', 'fare', 'top', 'notch', 'service']",rebooked disappointed wait whole day start vacation fare top notch service,-0.01666666666666668,0.5499999999999999
1326, direct messages not going through please help,,2015-02-22 10:25:42 -0800,Southern California and Hawaii,0.203,0.279,0.517,0.1872,"['direct', 'message', 'going', 'please', 'help']",direct message going please help,0.1,0.4
1327, why not charge for 2nd carryon instead of checked bag Less jockeying for overhead space happier passengers more ontime departures,,2015-02-22 10:20:28 -0800,"Hingham, MA",0.0,0.152,0.848,0.5267,"['charge', 'nd', 'carryon', 'instead', 'checked', 'bag', 'le', 'jockeying', 'overhead', 'space', 'happier', 'passenger', 'ontime', 'departure']",charge nd carryon instead checked bag le jockeying overhead space happier passenger ontime departure,0.0,0.0
1328, Adding reservation to iOS app doesnt show up on desktop site when logged in And miles cant be redeemed for upgrades thru your app,,2015-02-22 10:19:32 -0800,Earth,0.079,0.0,0.921,-0.2411,"['adding', 'reservation', 'io', 'app', 'doesnt', 'show', 'desktop', 'site', 'logged', 'mile', 'cant', 'redeemed', 'upgrade', 'thru', 'app']",adding reservation io app doesnt show desktop site logged mile cant redeemed upgrade thru app,0.0,0.0
1329, I assume that would be for the other 300 people who have been let down by United Whats worse is plane is here but crew cant fly,,2015-02-22 10:19:29 -0800,deep in the ❤ of Texas...,0.073,0.068,0.859,-0.0387,"['assume', 'would', 'people', 'let', 'whats', 'worse', 'plane', 'crew', 'cant', 'fly']",assume would people let whats worse plane crew cant fly,0.2,0.75
1330,   Pushing 2 hours on hold Priceless ,,2015-02-22 10:16:40 -0800,Dallas,0.0,0.0,1.0,0.0,"['pushing', 'hour', 'hold', 'priceless']",pushing hour hold priceless,1.0,1.0
1331, will do Just need to get CVG and my bag too Thanks,"[41.97456785, -87.90563774]",2015-02-22 10:13:31 -0800,"Loveland, Ohio",0.0,0.209,0.791,0.4404,"['need', 'get', 'cvg', 'bag', 'thanks']",need get cvg bag thanks,0.2,0.2
1332, read the thread I booked 1st class  now seated at 38E even though United Twtr account confirmed Eco Premium,,2015-02-22 10:11:37 -0800,New York City,0.0,0.141,0.859,0.4215,"['read', 'thread', 'booked', 'st', 'class', 'seated', 'e', 'even', 'though', 'twtr', 'account', 'confirmed', 'eco', 'premium']",read thread booked st class seated e even though twtr account confirmed eco premium,0.4,1.0
1333, Hi there bag ID is UA6016053916 can you update me and explain why is occurred when I arrived 4 hours before flight,,2015-02-22 10:09:57 -0800,,0.0,0.0,1.0,0.0,"['hi', 'bag', 'id', 'update', 'explain', 'occurred', 'arrived', 'hour']",hi bag id update explain occurred arrived hour,0.0,0.0
1334, doesnt purchasing ticket with a united card give me priority boarding ,,2015-02-22 10:08:45 -0800,,0.0,0.237,0.763,0.4215,"['doesnt', 'purchasing', 'ticket', 'card', 'give', 'priority', 'boarding']",doesnt purchasing ticket card give priority boarding,0.0,0.0
1335, hi yes need a free hotel stay in Honalulu due to 4 hour delayUA53 since we will miss our second flight to Kauai,,2015-02-22 10:05:53 -0800,deep in the ❤ of Texas...,0.062,0.234,0.703,0.6597,"['hi', 'yes', 'need', 'free', 'hotel', 'stay', 'honalulu', 'due', 'hour', 'delayua', 'since', 'miss', 'second', 'kauai']",hi yes need free hotel stay honalulu due hour delayua since miss second kauai,0.09166666666666667,0.39166666666666666
1336, so whats the solution,,2015-02-22 10:05:24 -0800,Kingwood,0.0,0.461,0.539,0.3744,"['whats', 'solution']",whats solution,0.0,0.0
1337, is screwing with my flights again at CAE Why do you bother having flights here if they never leave on time or get Cancelled Flighted,,2015-02-22 10:02:07 -0800,"West Columbia,SC",0.221,0.04,0.738,-0.6312,"['screwing', 'flight', 'cae', 'bother', 'flight', 'never', 'leave', 'time', 'get', 'cancelled', 'flighted']",screwing flight cae bother flight never leave time get cancelled flighted,0.0,0.0
1338, no I need you to have more than 2 agents at check in,,2015-02-22 10:02:05 -0800,"Houston, TX",0.18,0.0,0.82,-0.296,"['need', 'agent', 'check']",need agent check,0.0,0.0
1339, so this did not work out at all Incredibly unfriendly ground staff and false promises over Twitter ,,2015-02-22 09:58:16 -0800,New York City,0.137,0.127,0.736,-0.0498,"['work', 'incredibly', 'unfriendly', 'ground', 'staff', 'false', 'promise', 'twitter']",work incredibly unfriendly ground staff false promise twitter,0.24999999999999997,0.75
1340, we got it thanks,,2015-02-22 09:55:38 -0800,,0.0,0.492,0.508,0.4404,"['got', 'thanks']",got thanks,0.2,0.2
1341, The so below skilled staff and inadequate system just deleted my return from Houston to Norway Shoulder shrugging is all you do,,2015-02-22 09:51:50 -0800,"Stavanger, Norway",0.114,0.0,0.886,-0.4019,"['skilled', 'staff', 'inadequate', 'system', 'deleted', 'return', 'houston', 'norway', 'shoulder', 'shrugging']",skilled staff inadequate system deleted return houston norway shoulder shrugging,0.5,0.5
1342, This is probably the least dependable airline in the Western Hemisphere  does not belong in Star Alliance but SkyTeam,,2015-02-22 09:51:43 -0800,"Stavanger, Norway",0.0,0.0,1.0,0.0,"['probably', 'least', 'dependable', 'western', 'hemisphere', 'belong', 'star', 'alliance', 'skyteam']",probably least dependable western hemisphere belong star alliance skyteam,-0.15,0.2
1343, severely under staffed at Iah,,2015-02-22 09:50:53 -0800,"Houston, TX",0.429,0.0,0.571,-0.4588,"['severely', 'staffed', 'iah']",severely staffed iah,0.0,0.0
1344, amazing hospitality and helpfulness from Anthony Lastella Great staff  def flying united again,,2015-02-22 09:50:48 -0800,"Quito, Ecuador",0.0,0.602,0.398,0.9274,"['amazing', 'hospitality', 'helpfulness', 'anthony', 'lastella', 'great', 'staff', 'def', 'flying']",amazing hospitality helpfulness anthony lastella great staff def flying,0.7000000000000001,0.825
1345, this 2 hr delay is a vacation buzzkill,,2015-02-22 09:50:24 -0800,"Austin, TX",0.315,0.0,0.685,-0.3182,"['hr', 'delay', 'vacation', 'buzzkill']",hr delay vacation buzzkill,0.0,0.0
1346, just touched down in Miami  not too far off  Nicely done united ,"[25.79104444, -80.27338351]",2015-02-22 09:46:08 -0800,201-600-2130,0.0,0.363,0.637,0.6908,"['touched', 'miami', 'far', 'nicely', 'done']",touched miami far nicely done,0.35,1.0
1347, whats the status of flight 1008 BogotHouston,,2015-02-22 09:40:42 -0800,"Phoneix, AZ",0.0,0.0,1.0,0.0,"['whats', 'status', 'bogothouston']",whats status bogothouston,0.0,0.0
1348, really enjoying my Sunday on holdover 1 hour Perhaps a better client experience is needed ,,2015-02-22 09:36:12 -0800,Dallas,0.0,0.375,0.625,0.7645,"['really', 'enjoying', 'sunday', 'holdover', 'hour', 'perhaps', 'better', 'client', 'experience', 'needed']",really enjoying sunday holdover hour perhaps better client experience needed,0.5,0.55
1349, Is a snowboard boot bag included in the standard checked baggage next to the snowboard bag,,2015-02-22 09:34:22 -0800,,0.0,0.0,1.0,0.0,"['snowboard', 'boot', 'bag', 'included', 'standard', 'checked', 'baggage', 'next', 'snowboard', 'bag']",snowboard boot bag included standard checked baggage next snowboard bag,0.0,0.0
1350, broken light 35 mins to get bridge to gate airplane parked wrong  bathroom not emptied last nightyour airline in last 3 hrs,,2015-02-22 09:33:57 -0800,,0.241,0.059,0.7,-0.689,"['broken', 'light', 'min', 'get', 'bridge', 'gate', 'airplane', 'parked', 'wrong', 'bathroom', 'emptied', 'last', 'nightyour', 'last', 'hr']",broken light min get bridge gate airplane parked wrong bathroom emptied last nightyour last hr,-0.1,0.42666666666666675
1351, I would appreciate a response regarding the pressurization failure on flight 1109 You seem to be responding to less serious issues,,2015-02-22 09:32:25 -0800,"ORLANDO, FL",0.187,0.117,0.695,-0.1548,"['would', 'appreciate', 'response', 'regarding', 'pressurization', 'failure', 'seem', 'responding', 'le', 'serious', 'issue']",would appreciate response regarding pressurization failure seem responding le serious issue,-0.325,0.4833333333333333
