,Unnamed: 0,text,tweet_coord,tweet_created,tweet_location,negative,positive,neutral,compound,lemmatized,clean,blob_polarity,blob_subjectivity,keywords
274,274, In ORD waited 20 min after crew members left before gate items came Flight attendant sarcastically said good luck and walked away,,2015-02-23 20:50:48 -0800,,0.078,0.21899999999999997,0.7040000000000001,0.5859,"['ord', 'waited', 'min', 'crew', 'member', 'left', 'gate', 'item', 'came', 'attendant', 'sarcastically', 'said', 'good', 'luck', 'walked', 'away']",ord waited min crew member left gate item came attendant sarcastically said good luck walked away,0.3,0.3333333333333333, staff delay
281,281, agent split up my reservation Now cant Cancelled Flight and refund credit for 2wks Why,,2015-02-23 20:43:28 -0800,,0.0,0.25,0.75,0.5171,"['agent', 'split', 'reservation', 'cant', 'cancelled', 'refund', 'credit', 'wks']",agent split reservation cant cancelled refund credit wks,0.0,0.0, staff ticketing_billing refund cancellation
285,285, tried calling too but w25 min phn wait means wed miss options anyway,,2015-02-23 20:36:46 -0800,"WX report for 41 Mile, Hwy 50",0.13699999999999998,0.0,0.863,-0.2263,"['tried', 'calling', 'w', 'min', 'phn', 'wait', 'mean', 'wed', 'miss', 'option', 'anyway']",tried calling w min phn wait mean wed miss option anyway,-0.3125,0.6875, delay
286,286, can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego Pretty please,,2015-02-23 20:36:06 -0800,"Washington, DC",0.067,0.19399999999999998,0.7390000000000001,0.5574,"['ask', 'guy', 'bwi', 'wait', 'u', 'get', 'delayed', 'san', 'diego', 'pretty', 'please']",ask guy bwi wait u get delayed san diego pretty please,0.25,1.0, delay
287,287, were still waiting to find out your rep is working hard  most upset about having to wait to tomorrow pm to get to mammoth,,2015-02-23 20:36:01 -0800,"Ottawa, Canada",0.163,0.0,0.8370000000000001,-0.5095,"['still', 'waiting', 'find', 'rep', 'working', 'hard', 'upset', 'wait', 'tomorrow', 'get', 'mammoth']",still waiting find rep working hard upset wait tomorrow get mammoth,-0.2916666666666667,0.5416666666666666, delay
288,288, for an early flt I think a call is appropriate Yes reviewed and nada avail until next day Expect full refund,,2015-02-23 20:35:30 -0800,"WX report for 41 Mile, Hwy 50",0.0,0.13,0.87,0.4019,"['early', 'flt', 'think', 'call', 'appropriate', 'yes', 'reviewed', 'nada', 'avail', 'next', 'day', 'expect', 'full', 'refund']",early flt think call appropriate yes reviewed nada avail next day expect full refund,0.2375,0.3375, refund
289,289, i understand thanks,,2015-02-23 20:35:27 -0800,,0.0,0.7440000000000001,0.256,0.4404,"['understand', 'thanks']",understand thanks,0.2,0.2, compliment
291,291, Yo yo yo stuck on the tarmac for over 2 hours at   Going to miss my ride at  help please HelpImStuck United,"[41.97777091, -87.90782014]",2015-02-23 20:33:29 -0800,,0.131,0.285,0.584,0.6369,"['yo', 'yo', 'yo', 'stuck', 'tarmac', 'hour', 'going', 'miss', 'ride', 'help', 'please', 'helpimstuck']",yo yo yo stuck tarmac hour going miss ride help please helpimstuck,0.0,0.0, delay
292,292, its highly unprofessional for you to overbook a flight by 12 seats ampfeel that I should rearrange my schedule for your mismanagement,,2015-02-23 20:32:54 -0800,Texas,0.159,0.0,0.841,-0.5563,"['highly', 'unprofessional', 'overbook', 'seat', 'ampfeel', 'rearrange', 'schedule', 'mismanagement']",highly unprofessional overbook seat ampfeel rearrange schedule mismanagement,0.16,0.5399999999999999, staff
293,293, well considering every agent before claimed they were unable to help with everything else why waste more time to hear call corp,,2015-02-23 20:32:16 -0800,,0.105,0.18,0.7140000000000001,0.25,"['well', 'considering', 'every', 'agent', 'claimed', 'unable', 'help', 'everything', 'else', 'waste', 'time', 'hear', 'call', 'corp']",well considering every agent claimed unable help everything else waste time hear call corp,-0.35,0.25, staff refund
294,294, man I cant wait to book my ticket now Thanks JP youre a life sabe,,2015-02-23 20:32:12 -0800,Colorado,0.0,0.331,0.669,0.6633,"['man', 'cant', 'wait', 'book', 'ticket', 'thanks', 'jp', 'youre', 'life', 'sabe']",man cant wait book ticket thanks jp youre life sabe,0.2,0.2, compliment delay ticketing_billing
295,295, Ice which I totally understand But when a large number of us are facing 15 hours of time and overnight Cancelled Flightations it seems like,,2015-02-23 20:28:45 -0800,,0.092,0.17300000000000001,0.735,0.29600000000000004,"['ice', 'totally', 'understand', 'large', 'number', 'u', 'facing', 'hour', 'time', 'overnight', 'cancelled', 'flightations', 'seems', 'like']",ice totally understand large number u facing hour time overnight cancelled flightations seems like,0.10714285714285714,0.5892857142857143, cancellation
296,296, flt 1249 Cancelled Flightled and I get email 30 AM What happened to courtesy phn call Had to book diff airline amp city,,2015-02-23 20:24:38 -0800,"WX report for 41 Mile, Hwy 50",0.08199999999999999,0.102,0.816,0.128,"['flt', 'cancelled', 'flightled', 'get', 'email', 'happened', 'courtesy', 'phn', 'call', 'book', 'diff', 'city']",flt cancelled flightled get email happened courtesy phn call book diff city,0.0,0.0, cancellation
297,297, tag numbers 0016 964012 0016 964077 0016 964078  lets find these bags,,2015-02-23 20:16:53 -0800,"mentor, Ohio",0.0,0.0,1.0,0.0,"['tag', 'number', 'let', 'find', 'bag']",tag number let find bag,0.0,0.0, baggage
298,298, better train your support staff with appropriate decorum consider revisiting your terrible provide a death certificate policy,,2015-02-23 20:16:46 -0800,"San Francisco, CA",0.285,0.228,0.488,-0.34,"['better', 'train', 'support', 'staff', 'appropriate', 'decorum', 'consider', 'revisiting', 'terrible', 'provide', 'death', 'certificate', 'policy']",better train support staff appropriate decorum consider revisiting terrible provide death certificate policy,0.0,0.6666666666666666, staff
302,302, I have no way of making phones calls Need to handle via Twitteremailweb Thank you,,2015-02-23 20:09:09 -0800,,0.132,0.15,0.7190000000000001,0.0772,"['way', 'making', 'phone', 'call', 'need', 'handle', 'via', 'twitteremailweb', 'thank']",way making phone call need handle via twitteremailweb thank,0.0,0.0, compliment
303,303, Please help I am in Ethiopia adopting a two year old child Have an existing confirmation  Need to add child to reservation,,2015-02-23 20:06:30 -0800,,0.0,0.217,0.7829999999999999,0.6124,"['please', 'help', 'ethiopia', 'adopting', 'two', 'year', 'old', 'child', 'existing', 'confirmation', 'need', 'add', 'child', 'reservation']",please help ethiopia adopting two year old child existing confirmation need add child reservation,0.1,0.2, children
305,305, Your website deserves a new design html5 FTW,,2015-02-23 20:03:27 -0800,Singapore,0.0,0.384,0.616,0.5766,"['website', 'deserves', 'new', 'design', 'html', 'ftw']",website deserves new design html ftw,0.13636363636363635,0.4545454545454545, online
306,306, thanks for effing up our holidays  were missing a full day of skiing due to your baggage teams incompetence at ,,2015-02-23 20:01:03 -0800,"Ottawa, Canada",0.209,0.21899999999999997,0.5710000000000001,0.0679,"['thanks', 'effing', 'holiday', 'missing', 'full', 'day', 'skiing', 'due', 'baggage', 'team', 'incompetence']",thanks effing holiday missing full day skiing due baggage team incompetence,-0.055000000000000014,0.375, compliment baggage
309,309, agent helps the person in front of me  Finishes up with them and then walks away  The guy behind me is as shocked as I am,,2015-02-23 19:47:44 -0800,"Rocklin, CA",0.08199999999999999,0.09300000000000001,0.8240000000000001,0.0772,"['agent', 'help', 'person', 'front', 'finish', 'walk', 'away', 'guy', 'behind', 'shocked']",agent help person front finish walk away guy behind shocked,-0.55,0.75, staff
310,310, Connection at ORD was on the exact same plane again Checked carryon was apparently taken off amp left in Chicago Pretty ridiculous,,2015-02-23 19:46:22 -0800,NY,0.09699999999999999,0.125,0.778,0.1779,"['connection', 'ord', 'exact', 'plane', 'checked', 'carryon', 'apparently', 'taken', 'left', 'chicago', 'pretty', 'ridiculous']",connection ord exact plane checked carryon apparently taken left chicago pretty ridiculous,0.04333333333333335,0.52, connection
312,312, Yes Did file a claim as soon as the carousel stopped without my bag on it Got an email that its found but not sched for delivery,,2015-02-23 19:44:52 -0800,"Westerville, Ohio",0.053,0.068,0.879,0.1027,"['yes', 'file', 'claim', 'soon', 'carousel', 'stopped', 'without', 'bag', 'got', 'email', 'found', 'sched', 'delivery']",yes file claim soon carousel stopped without bag got email found sched delivery,0.0,0.0, baggage refund
313,313, an idea monitor mileage members travel patterns enough to know when they change jobslose statusand make the transition easier,,2015-02-23 19:44:11 -0800,Pacific Northwest,0.0,0.135,0.865,0.4215,"['idea', 'monitor', 'mileage', 'member', 'travel', 'pattern', 'enough', 'know', 'change', 'jobslose', 'statusand', 'make', 'transition', 'easier']",idea monitor mileage member travel pattern enough know change jobslose statusand make transition easier,0.0,0.5, loyalty_program
314,314,  Delay DENCLE because they have to manually enter baggage tags Really Worst cust service day for this 1ker friendlyskies,,2015-02-23 19:43:27 -0800,"Cleveland, OH",0.282,0.0,0.718,-0.7713,"['delay', 'dencle', 'manually', 'enter', 'baggage', 'tag', 'really', 'worst', 'cust', 'service', 'day', 'ker', 'friendlyskies']",delay dencle manually enter baggage tag really worst cust service day ker friendlyskies,-1.0,1.0, delay baggage
315,315, Why tell us flight is delayed then tell us its on time again with 20 min to spare Dont say its delayed unless youre sure,"[33.9411179, -118.3972405]",2015-02-23 19:43:13 -0800,"Hermosa Beach, CA",0.135,0.08199999999999999,0.7829999999999999,-0.128,"['tell', 'u', 'delayed', 'tell', 'u', 'time', 'min', 'spare', 'dont', 'say', 'delayed', 'unless', 'youre', 'sure']",tell u delayed tell u time min spare dont say delayed unless youre sure,0.5,0.8888888888888888, delay
316,316, yes in Lusaka Zambia My guess is the bags never made the plane at IAD,,2015-02-23 19:38:08 -0800,"mentor, Ohio",0.0,0.162,0.838,0.4019,"['yes', 'lusaka', 'zambia', 'guess', 'bag', 'never', 'made', 'plane', 'iad']",yes lusaka zambia guess bag never made plane iad,0.0,0.0, baggage
318,318, Late Flight to Denver Late Flight to Newarklets not even get into the disaster that was checking bags Unacceptable,,2015-02-23 19:33:12 -0800,,0.295,0.0,0.705,-0.7964,"['late', 'denver', 'late', 'newarklets', 'even', 'get', 'disaster', 'checking', 'bag', 'unacceptable']",late denver late newarklets even get disaster checking bag unacceptable,-0.3,0.6, delay baggage
320,320, yes I filed a claim amp hope to receive by luggage by 2am Ridiculous as I had to purchase items to go to sleep amp no reimbursement,,2015-02-23 19:32:02 -0800,,0.155,0.185,0.66,0.2263,"['yes', 'filed', 'claim', 'hope', 'receive', 'luggage', 'ridiculous', 'purchase', 'item', 'go', 'sleep', 'reimbursement']",yes filed claim hope receive luggage ridiculous purchase item go sleep reimbursement,-0.3333333333333333,1.0, baggage refund
321,321, UA938 ORDLHR  bags are being loaded 30min Late Flight Frigid air into cabin Plane feels like falling apart Upgrade long haul fleet,,2015-02-23 19:31:32 -0800,Broad & Pattison,0.066,0.10400000000000001,0.83,0.2263,"['ordlhr', 'bag', 'loaded', 'min', 'late', 'frigid', 'air', 'cabin', 'plane', 'feel', 'like', 'falling', 'apart', 'upgrade', 'long', 'haul', 'fleet']",ordlhr bag loaded min late frigid air cabin plane feel like falling apart upgrade long haul fleet,-0.4166666666666667,0.6666666666666666, delay baggage
322,322, Flight attendant never served me my beverage tea and not once checked up on me What gives ua6076 notcool,,2015-02-23 19:30:38 -0800,Cornfields,0.0,0.0,1.0,0.0,"['attendant', 'never', 'served', 'beverage', 'tea', 'checked', 'give', 'notcool']",attendant never served beverage tea checked give notcool,0.2,0.4, staff
326,326, UA276 sitting at EWR nearly an hour after sked  Pilot says computers down but no clue when we will leave  Can you help,,2015-02-23 19:16:06 -0800,,0.14800000000000002,0.128,0.723,0.1154,"['sitting', 'ewr', 'nearly', 'hour', 'sked', 'pilot', 'say', 'computer', 'clue', 'leave', 'help']",sitting ewr nearly hour sked pilot say computer clue leave help,0.1,0.4, staff
329,329, not just refunded but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA,,2015-02-23 19:10:38 -0800,,0.0,0.151,0.8490000000000001,0.6652,"['refunded', 'u', 'vacation', 'get', 'free', 'room', 'night', 'make', 'making', 'u', 'sleep', 'dia']",refunded u vacation get free room night make making u sleep dia,0.4,0.8, refund
330,330, Thanks for the reminder Its been a fun ride ,,2015-02-23 19:09:36 -0800,,0.0,0.508,0.49200000000000005,0.7351,"['thanks', 'reminder', 'fun', 'ride']",thanks reminder fun ride,0.25,0.2, compliment
331,331, I received my luggage that also looked to be left in the snow when I arrived Im asking for all 50 people to be refunded,,2015-02-23 19:08:18 -0800,,0.0,0.0,1.0,0.0,"['received', 'luggage', 'also', 'looked', 'left', 'snow', 'arrived', 'asking', 'people', 'refunded']",received luggage also looked left snow arrived asking people refunded,0.0,0.0, baggage refund
334,334, 5 gate changes two delays  Even the crew thinks the airline sucks,,2015-02-23 19:04:30 -0800,Michigan,0.2,0.0,0.8,-0.3612,"['gate', 'change', 'two', 'delay', 'even', 'crew', 'think', 'suck']",gate change two delay even crew think suck,0.0,0.0, staff delay
337,337, Soooo its been 15 days and youve offered no response So I assume poor treatment by gate agents is the norm now,,2015-02-23 18:59:05 -0800,"iPhone: 42.734546,-84.483753",0.22699999999999998,0.0,0.773,-0.6786,"['soooo', 'day', 'youve', 'offered', 'response', 'assume', 'poor', 'treatment', 'gate', 'agent', 'norm']",soooo day youve offered response assume poor treatment gate agent norm,-0.4,0.6, staff
338,338, Terrific Many thanks Looking forward to being back on UA tomorrow Had a great flight up to Vancouver,,2015-02-23 18:56:33 -0800,,0.0,0.419,0.581,0.8779,"['terrific', 'many', 'thanks', 'looking', 'forward', 'back', 'tomorrow', 'great', 'vancouver']",terrific many thanks looking forward back tomorrow great vancouver,0.3,0.4900000000000001, compliment
339,339, Calls to 800 resulted in 2hrs of hold time amp 2day wait to check suspect code share fare Nothing investigatedmy time wasted 22,,2015-02-23 18:56:16 -0800,"Brooklyn, NY",0.081,0.179,0.74,0.3875,"['call', 'resulted', 'hr', 'hold', 'time', 'day', 'wait', 'check', 'suspect', 'code', 'share', 'fare', 'nothing', 'investigatedmy', 'time', 'wasted']",call resulted hr hold time day wait check suspect code share fare nothing investigatedmy time wasted,-0.2,0.0, delay
340,340, Its taken 3 weeks for Cust Care to respond to Case 8477733 requesting a refund for wifi not working Where can I get an update,,2015-02-23 18:55:25 -0800,Chicago / Orlando / airplanes,0.0,0.132,0.868,0.4939,"['taken', 'week', 'cust', 'care', 'respond', 'case', 'requesting', 'refund', 'wifi', 'working', 'get', 'update']",taken week cust care respond case requesting refund wifi working get update,0.0,0.0, refund
343,343, Today was not your finest All could have been prevented by one gate agent advising 200 passengers,,2015-02-23 18:52:56 -0800,"Chicago, IL",0.0,0.064,0.9359999999999999,0.0258,"['today', 'finest', 'could', 'prevented', 'one', 'gate', 'agent', 'advising', 'passenger']",today finest could prevented one gate agent advising passenger,0.0,0.0, staff
344,344,  what is the real deal with the delay on flight UA 1032 from Denver to Vegas,,2015-02-23 18:51:55 -0800,,0.133,0.0,0.867,-0.3182,"['real', 'deal', 'delay', 'denver', 'vega']",real deal delay denver vega,0.2,0.30000000000000004, delay
345,345, UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees MaryJo was rude and unhelpful,"[41.97758714, -87.91388554]",2015-02-23 18:51:40 -0800,"Chicago, IL",0.29100000000000004,0.0,0.7090000000000001,-0.7506,"['madrid', 'arrived', 'agent', 'mass', 'confusion', 'sent', 'fro', 'employee', 'maryjo', 'rude', 'unhelpful']",madrid arrived agent mass confusion sent fro employee maryjo rude unhelpful,-0.3,0.6, staff
347,347, lots of reports of system failures delaying flights over the last week Currently sitting on the tarmac at OGG for over an hour,,2015-02-23 18:43:07 -0800,,0.12,0.0,0.88,-0.4588,"['lot', 'report', 'system', 'failure', 'delaying', 'flight', 'last', 'week', 'currently', 'sitting', 'tarmac', 'ogg', 'hour']",lot report system failure delaying flight last week currently sitting tarmac ogg hour,-0.10555555555555557,0.25555555555555554, delay
349,349, despite shaky connections looks like Ill get home tonight Great job   was touch and go for a while,"[38.9470207, -77.4511745]",2015-02-23 18:41:38 -0800,"Denver, CO",0.11599999999999999,0.34299999999999997,0.54,0.6669,"['despite', 'shaky', 'connection', 'look', 'like', 'ill', 'get', 'home', 'tonight', 'great', 'job', 'touch', 'go']",despite shaky connection look like ill get home tonight great job touch go,-0.011111111111111072,0.75, connection
352,352, can you tell me how to file a claim for clothing that had to be purchased,,2015-02-23 18:39:09 -0800,Global,0.0,0.0,1.0,0.0,"['tell', 'file', 'claim', 'clothing', 'purchased']",tell file claim clothing purchased,0.0,0.0, refund
355,355, we wouldhow do I contact you to discuss A few poor experiences with customer service but would give it a shot,,2015-02-23 18:36:53 -0800,DEN,0.10800000000000001,0.0,0.892,-0.2617,"['wouldhow', 'contact', 'discus', 'poor', 'experience', 'customer', 'service', 'would', 'give', 'shot']",wouldhow contact discus poor experience customer service would give shot,-0.4,0.6, staff
360,360, here is the ticket  0162424965446 please refund my unnecessary upgrade fee,,2015-02-23 18:21:03 -0800,,0.0,0.187,0.813,0.3182,"['ticket', 'please', 'refund', 'unnecessary', 'upgrade', 'fee']",ticket please refund unnecessary upgrade fee,-0.4,0.9, ticketing_billing refund
362,362, thank you,,2015-02-23 18:16:57 -0800,Dallas,0.0,0.7140000000000001,0.28600000000000003,0.3612,['thank'],thank,0.0,0.0, compliment
368,368,  The baggage fee is waived for Premier members Please see  JP whats the point of membership,,2015-02-23 18:12:33 -0800,"San Francisco, CA",0.0,0.257,0.743,0.5904,"['baggage', 'fee', 'waived', 'premier', 'member', 'please', 'see', 'jp', 'whats', 'point', 'membership']",baggage fee waived premier member please see jp whats point membership,0.0,0.0, baggage
369,369, wonderful bag claim people  finally have my bag But why did I catch earlier flight Original flight just landed wastedtime,,2015-02-23 18:06:21 -0800,"Colorado Springs, Colorado USA",0.0,0.23800000000000002,0.762,0.6486,"['wonderful', 'bag', 'claim', 'people', 'finally', 'bag', 'catch', 'earlier', 'original', 'landed', 'wastedtime']",wonderful bag claim people finally bag catch earlier original landed wastedtime,0.34375,0.8125, baggage refund
370,370, Dmed you Thank you,,2015-02-23 18:06:15 -0800,Global,0.0,0.455,0.545,0.3612,"['dmed', 'thank']",dmed thank,0.0,0.0, compliment
371,371, thanks well be in touch,,2015-02-23 18:02:46 -0800,Ottawa,0.0,0.625,0.375,0.6124,"['thanks', 'well', 'touch']",thanks well touch,0.2,0.2, compliment
372,372, Thanks to Karen Salisbury at IAH for amazing customer service  Found my daughters bag lost on UA1516  Made her day,,2015-02-23 18:00:55 -0800,Silicon Valley,0.08800000000000001,0.258,0.654,0.6597,"['thanks', 'karen', 'salisbury', 'iah', 'amazing', 'customer', 'service', 'found', 'daughter', 'bag', 'lost', 'made', 'day']",thanks karen salisbury iah amazing customer service found daughter bag lost made day,0.4,0.55, compliment staff baggage children
373,373, 3 days Late Flightr and my bag has not left IAD United is not helping at all Everyone tells me a different story,,2015-02-23 17:59:21 -0800,Lees Summit,0.182,0.0,0.818,-0.4973,"['day', 'late', 'flightr', 'bag', 'left', 'iad', 'helping', 'everyone', 'tell', 'different', 'story']",day late flightr bag left iad helping everyone tell different story,-0.1,0.4, delay baggage
377,377, I left my comment with customer care Thanks for contacting me,,2015-02-23 17:54:21 -0800,,0.0,0.433,0.5670000000000001,0.7269,"['left', 'comment', 'customer', 'care', 'thanks', 'contacting']",left comment customer care thanks contacting,0.1,0.1, compliment
378,378, how do you lose a gate checked bag DEN to ORD Direct flight Ugh,,2015-02-23 17:53:10 -0800,"Colorado Springs, Colorado USA",0.33299999999999996,0.0,0.667,-0.6705,"['lose', 'gate', 'checked', 'bag', 'den', 'ord', 'direct', 'ugh']",lose gate checked bag den ord direct ugh,0.1,0.4, baggage
379,379, caught earlier flight to ORD Gate checked bag and youve lost it at OHare original flight lands in 20minutes frustrating,,2015-02-23 17:50:15 -0800,"Colorado Springs, Colorado USA",0.212,0.094,0.6940000000000001,-0.4404,"['caught', 'earlier', 'ord', 'gate', 'checked', 'bag', 'youve', 'lost', 'ohare', 'original', 'land', 'minute', 'frustrating']",caught earlier ord gate checked bag youve lost ohare original land minute frustrating,-0.00833333333333334,0.7166666666666667, baggage
380,380,Yes Thanks so much   We see you spoke with our Reservations team and theyve reinstated the flight Thanks EY,,2015-02-23 17:47:46 -0800,"Houston, TX",0.0,0.34700000000000003,0.653,0.8176,"['yes', 'thanks', 'much', 'see', 'spoke', 'reservation', 'team', 'theyve', 'reinstated', 'thanks', 'ey']",yes thanks much see spoke reservation team theyve reinstated thanks ey,0.20000000000000004,0.20000000000000004, compliment
381,381, captain on behalf of the front office welcome on board Never heard that before I laughedhard  funnycaptain,,2015-02-23 17:46:10 -0800,,0.0,0.16699999999999998,0.833,0.4588,"['captain', 'behalf', 'front', 'office', 'welcome', 'board', 'never', 'heard', 'laughedhard', 'funnycaptain']",captain behalf front office welcome board never heard laughedhard funnycaptain,0.8,0.9, staff
382,382, Can you please follow for a Dm on a missing bag,,2015-02-23 17:41:23 -0800,Global,0.191,0.2,0.609,0.0258,"['please', 'follow', 'dm', 'missing', 'bag']",please follow dm missing bag,-0.2,0.05, baggage
383,383, to be clear on my luggage comment I am referencing the photo attached Flight 6232 to JAC ,,2015-02-23 17:33:38 -0800,,0.0,0.14800000000000002,0.852,0.3818,"['clear', 'luggage', 'comment', 'referencing', 'photo', 'attached', 'jac']",clear luggage comment referencing photo attached jac,0.10000000000000002,0.3833333333333333, baggage
386,386, awesome Ill book my next Christmas vacatinn this December any other ways you want to devalue mileage plus,,2015-02-23 17:31:46 -0800,california,0.121,0.233,0.647,0.3818,"['awesome', 'ill', 'book', 'next', 'christmas', 'vacatinn', 'december', 'way', 'want', 'devalue', 'mileage', 'plus']",awesome ill book next christmas vacatinn december way want devalue mileage plus,0.16666666666666666,0.6666666666666666, loyalty_program
387,387, whats a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday,,2015-02-23 17:30:47 -0800,,0.0,0.154,0.846,0.4939,"['whats', 'good', 'number', 'call', 'speak', 'someone', 'fix', 'people', 'luggage', 'saturday']",whats good number call speak someone fix people luggage saturday,0.7,0.6000000000000001, baggage
388,388, THANK U Secured room for the night Thx to VERY helpful customer service rep N Dorns I thanked her Can u 2 goodenoughmother,,2015-02-23 17:24:06 -0800,GEM HQ (aka walk-in closet) NY,0.0,0.5379999999999999,0.462,0.9344,"['thank', 'secured', 'room', 'night', 'thx', 'helpful', 'customer', 'service', 'rep', 'n', 'dorns', 'thanked', 'goodenoughmother']",thank secured room night thx helpful customer service rep n dorns thanked goodenoughmother,0.0,0.0, compliment staff
389,389, wheres my damn bag,,2015-02-23 17:22:59 -0800,,0.474,0.0,0.526,-0.4019,"['wheres', 'damn', 'bag']",wheres damn bag,0.0,0.0, baggage
390,390, well someone should tell that to the employees at the Denver baggage claim Still no bag,,2015-02-23 17:22:39 -0800,,0.12,0.115,0.765,-0.0258,"['well', 'someone', 'tell', 'employee', 'denver', 'baggage', 'claim', 'still', 'bag']",well someone tell employee denver baggage claim still bag,0.0,0.0, baggage refund
393,393, diverted and missed our connecting flight Was just told that my bag is on its way to MSY If you only had people that cared,,2015-02-23 17:04:46 -0800,,0.079,0.1,0.821,0.1531,"['diverted', 'missed', 'connecting', 'told', 'bag', 'way', 'msy', 'people', 'cared']",diverted missed connecting told bag way msy people cared,0.0,0.0, baggage
394,394, Male agnt in LAS threatens Canadian cust when cust takes pic of him at gate after agents announce cant help rebook friendlyskies,,2015-02-23 16:57:34 -0800,"Cleveland, OH",0.195,0.0,0.805,-0.5938,"['male', 'agnt', 'la', 'threatens', 'canadian', 'cust', 'cust', 'take', 'pic', 'gate', 'agent', 'announce', 'cant', 'help', 'rebook', 'friendlyskies']",male agnt la threatens canadian cust cust take pic gate agent announce cant help rebook friendlyskies,0.0,0.1, staff
395,395,  we just want to go home tonight  why did you Cancelled Flight the last leg of our reserv wout our permission PH6RPS,,2015-02-23 16:52:05 -0800,"Houston, TX",0.086,0.055999999999999994,0.858,-0.1779,"['want', 'go', 'home', 'tonight', 'cancelled', 'last', 'leg', 'reserv', 'wout', 'permission', 'phrps']",want go home tonight cancelled last leg reserv wout permission phrps,0.0,0.06666666666666668, cancellation
396,396,  Stressed and rude agents Overwhelmed by delyd flight LASDEN 1657 Yelling at several people Not pretty This is friendlyskies,,2015-02-23 16:51:43 -0800,"Cleveland, OH",0.331,0.05,0.619,-0.78,"['stressed', 'rude', 'agent', 'overwhelmed', 'delyd', 'lasden', 'yelling', 'several', 'people', 'pretty', 'friendlyskies']",stressed rude agent overwhelmed delyd lasden yelling several people pretty friendlyskies,-0.016666666666666663,0.5333333333333333, staff
398,398, FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH from SEA for reFlight Booking Problems wout OUR PERMISSION PH6RPS,,2015-02-23 16:49:40 -0800,"Houston, TX",0.28,0.0,0.72,-0.8374,"['fail', 'cancelled', 'flightled', 'frm', 'gjt', 'used', 'reserv', 'home', 'iah', 'sea', 'reflight', 'booking', 'problem', 'wout', 'permission', 'phrps']",fail cancelled flightled frm gjt used reserv home iah sea reflight booking problem wout permission phrps,-0.5,0.29999999999999993, cancellation
399,399,Just sent thank u    Please DM your confirmation number if reFlight Booking Problems is needed Thank you EY,,2015-02-23 16:48:18 -0800,GEM HQ (aka walk-in closet) NY,0.11599999999999999,0.369,0.515,0.5994,"['sent', 'thank', 'please', 'dm', 'confirmation', 'number', 'reflight', 'booking', 'problem', 'needed', 'thank', 'ey']",sent thank please dm confirmation number reflight booking problem needed thank ey,0.0,0.0, compliment
400,400, has made my no fly list Other airlines wait when connector Late Flight Stuck in IAH,,2015-02-23 16:48:12 -0800,Austin,0.231,0.0,0.769,-0.4939,"['made', 'fly', 'list', 'wait', 'connector', 'late', 'stuck', 'iah']",made fly list wait connector late stuck iah,0.25,0.75, delay
403,403, thank you I flew into Newark from VailEagle,,2015-02-23 16:42:16 -0800,,0.0,0.294,0.706,0.3612,"['thank', 'flew', 'newark', 'vaileagle']",thank flew newark vaileagle,0.0,0.0, compliment
406,406, the proper response sorry for your wait what flight  were you on so we can look into the issue Thats how  would handle,,2015-02-23 16:36:48 -0800,,0.055999999999999994,0.0,0.9440000000000001,-0.0772,"['proper', 'response', 'sorry', 'wait', 'look', 'issue', 'thats', 'would', 'handle']",proper response sorry wait look issue thats would handle,-0.25,0.55, delay
407,407, your customer service is terrible Stood inline 3 hours no flights and 4 hours Late Flightr still no bagdisgutedindenver,,2015-02-23 16:32:42 -0800,,0.349,0.0,0.6509999999999999,-0.7579,"['customer', 'service', 'terrible', 'stood', 'inline', 'hour', 'flight', 'hour', 'late', 'flightr', 'still', 'bagdisgutedindenver']",customer service terrible stood inline hour flight hour late flightr still bagdisgutedindenver,-0.65,0.8, staff delay baggage
408,408, please upload the March ondemand entertainment listing on your website ,,2015-02-23 16:32:02 -0800,"melbourne, australia",0.0,0.389,0.611,0.6249,"['please', 'upload', 'march', 'ondemand', 'entertainment', 'listing', 'website']",please upload march ondemand entertainment listing website,0.0,0.0, online
411,411, Thank you for responding so quickly with a helpful tool ,,2015-02-23 16:23:46 -0800,"Houston, TX",0.0,0.44299999999999995,0.557,0.6771,"['thank', 'responding', 'quickly', 'helpful', 'tool']",thank responding quickly helpful tool,0.3333333333333333,0.5, compliment
412,412, boarding time shows 35 min and your gate agent started at 45 showed up at 400 and they had to check bag ,,2015-02-23 16:23:12 -0800,"San Francisco, CA ",0.0,0.0,1.0,0.0,"['boarding', 'time', 'show', 'min', 'gate', 'agent', 'started', 'showed', 'check', 'bag']",boarding time show min gate agent started showed check bag,0.0,0.0, staff baggage
413,413, Agent in LAS letting 20 customers know they cant help them rebook delayed flight to DEN unfriendlyskies ,,2015-02-23 16:17:46 -0800,,0.217,0.0,0.7829999999999999,-0.4867,"['agent', 'la', 'letting', 'customer', 'know', 'cant', 'help', 'rebook', 'delayed', 'den', 'unfriendlyskies']",agent la letting customer know cant help rebook delayed den unfriendlyskies,0.0,0.0, staff delay
